Dataset,No.Markers,Full.Name,Method.Name,Paper.Name
Charoentong2017,26,Activated B cell,aB,Activated B cell
Charoentong2017,25,Activated CD4 T cell,aCD4 T,Activated CD4 T cell
Charoentong2017,26,Activated CD8 T cell,aCD8 T,Activated CD8 T cell
Charoentong2017,35,Activated dendritic cell,aDC,Activated dendritic cell
Charoentong2017,40,CD56bright natural killer cell,CD56bright NK,CD56bright natural killer cell
Charoentong2017,16,CD56dim natural killer cell,CD56dim NK,CD56dim natural killer cell
Charoentong2017,28,Central memory CD4 T cell,CD4 Tcm,Central memory CD4 T cell
Charoentong2017,21,Central memory CD8 T cell,CD8 Tcm,Central memory CD8 T cell
Charoentong2017,27,Effector memeory CD4 T cell,CD4 Tem,Effector memeory CD4 T cell
Charoentong2017,25,Effector memeory CD8 T cell,CD8 Tem,Effector memeory CD8 T cell
Charoentong2017,17,Eosinophil,Eosinophil,Eosinophil
Charoentong2017,31,Gamma delta T cell,Tgd,Gamma delta T cell
Charoentong2017,19,Immature  B cell,iB,Immature  B cell
Charoentong2017,23,Immature dendritic cell,iDC,Immature dendritic cell
Charoentong2017,33,Macrophage,Macrophage,Macrophage
Charoentong2017,17,Mast cell,Mast,Mast cell
Charoentong2017,20,Myeloid-derived suppressor cell,MDSC,MDSC
Charoentong2017,14,Memory B cell,Memory B,Memory B cell
Charoentong2017,21,Monocyte,Monocyte,Monocyte
Charoentong2017,35,Natural killer cell,NK,Natural killer cell
Charoentong2017,44,Natural killer T cell,NKT,Natural killer T cell
Charoentong2017,18,Neutrophil,Neutrophil,Neutrophil
Charoentong2017,32,Plasmacytoid dendritic cell,pDC,Plasmacytoid dendritic cell
Charoentong2017,20,Regulatory T cell,Treg,Regulatory T cell
Charoentong2017,36,Follicular helper T cell,Tfh,T follicular helper cell
Charoentong2017,77,Type 1 helper T cell,Th1,Type 1 T helper cell
Charoentong2017,27,Type 17 helper T cell,Th17,Type 17 T helper cell
Charoentong2017,29,Type 2 helper T cell,Th2,Type 2 T helper cell
Bindea2013,5,Activated dendritic cell,aDC,aDC
Bindea2013,34,B cell,B,B cells
Bindea2013,37,CD8 T cell,CD8 T,CD8 T cells
Bindea2013,17,Cytotoxic cell,Cytotoxic,Cytotoxic cells
Bindea2013,7,Dendritic cell,DC,DC
Bindea2013,32,Eosinophil,Eosinophil,Eosinophils
Bindea2013,31,Immature dendritic cell,iDC,iDC
Bindea2013,33,Macrophages,Macrophage,Macrophages
Bindea2013,31,Mast cell,Mast,Mast cells
Bindea2013,31,Neutrophils,Neutrophil,Neutrophils
Bindea2013,11,CD56bright Natural killer cell,CD56bright NK,NK CD56bright cells
Bindea2013,15,CD56dim Natural killer cell,CD56dim NK,NK CD56dim cells
Bindea2013,37,Natural killer cell,NK,NK cells
Bindea2013,18,T cell,T,T cells
Bindea2013,23,Helper T cell,Th,T helper cells
Bindea2013,39,Central memory T cell,Tcm,Tcm
Bindea2013,15,Effector memory T cell,Tem,Tem
Bindea2013,32,Follicular helper T cell,Tfh,TFH
Bindea2013,6,Gamma delta T cell,Tgd,Tgd
Bindea2013,27,Type 1 helper T cell,Th1,Th1 cells
Bindea2013,27,Type 2 helper T cell,Th2,Th2 cells
